Basket Number,NE Elevation Open,NW Elevation Open,SE Elevation Open,SW Elevation Open,NE Elevation Close,NW Elevation Close,SE Elevation Close,SW Elevation Close,Photo Numbers,Latitude,Longitude,Average Elevation,"Cultural Material Weights (Discard + Keep, kg)"
697,,,,,1182.638,1182.709,1182.901,1182.897,"1520, ",37.44806988,21.9948932,1182.78625,24
698,,,,,1183.099,1183.23,1182.445,1182.603,"1514, 1521",37.44808561,21.99489119,1182.84425,0
699,,,,,1181.903,1181.942,1182.08,1182.1,"1525, 1526, 1527, 1528",37.44813683,21.99487372,1182.00625,21
700,,,,,1182.764,1182.856,1182.973,1182.979,"1512, 1513, 1519",37.44818083,21.99488044,1182.893,7
701,,,,,1182.557,1182.555,1182.555,1182.564,"1529, 1530",37.44809661,21.99489237,1182.55775,1
702,,,,,1182.564,1182.559,1182.551,1182.562,"1531, 1536",37.44809812,21.99489105,1182.559,4
703,1181.903,1181.919,1182.392,1182.468,1181.898,1181.952,1182.159,1182.462,"1532, 1533",37.44814978,21.9948559,1182.144125,1
704,1181.932,1182.451,1182.25,1182.048,1181.906,1182.168,1182.024,1182.153,"1534, 1535, 1538, 1539",37.44814647,21.99485874,1182.1165,37
705,1181.958,1182.187,1181.856,1182.085,1181.834,1181.849,1181.841,1181.871,"1541, 1542, 1543",37.44815708,21.99486888,1181.935125,1
706,1183.092,1183.095,1183.084,1183.087,1182.648,1182.571,1182.573,1182.589,"1537, 1567, 1570, 1571",37.44810015,21.99489143,1182.842375,5
707,1181.901,1182.198,1181.966,1182.201,1181.886,1181.925,1181.975,1182.322,"1544, 1545, 1546, 1547, 1548",37.44814692,21.99486945,1182.04675,10
708,1181.978,1181.907,1181.966,1182.04,1181.959,1181.901,1181.96,1182.028,"1549, 1550, 1559, 1560",37.44814858,21.99486689,1181.967375,6
709,1181.905,1181.973,1182.046,1182.066,1181.887,1181.958,1182.036,1182.066,"1551, 1552, 1561, 1562",37.4481452,21.99485898,1181.992125,0
710,1181.979,1182.162,1182.071,1182.201,1181.872,1182.142,1182.066,1182.074,"1553, 1554, 1563, 1564, 1565",37.44814357,21.99485318,1182.070875,1
711,1182.776,1182.865,1183.034,1182.992,1182.733,1182.8,1182.873,1182.89,"1566, 1568, 1573",37.44818776,21.99487445,1182.870375,1
712,1181.906,1181.917,1181.835,1181.899,1181.819,1181.821,1181.825,1181.857,"1569, 1577, 1578",37.44815422,21.99485956,1181.859875,0
713,1181.92,1181.937,1181.901,1181.931,1181.832,1181.848,1181.828,1181.858,"1579, 1580",37.44815358,21.99487035,1181.881875,1
714,1183.281,1183.616,1183.301,1183.655,1182.927,1183.477,1183.052,1183.543,"1574, 1575",37.44817367,21.99486844,1183.3565,0
715,1183.528,1183.537,1183.449,1183.457,1182.578,1182.58,1182.592,1182.589,"1572, 1585, 1588, 1589",37.44810168,21.99489199,1183.03875,4
716,1181.819,1181.821,1181.825,1181.857,1181.7,1181.662,1181.756,1181.774,"1581, 1586",37.44815422,21.99485956,1181.77675,1
717,1181.832,1181.848,1181.828,1181.858,1181.767,1181.769,1181.734,1181.828,"1582, 1587",37.44815358,21.99487035,1181.808,3
718,1182.927,1183.477,1183.052,1183.543,1182.852,1182.976,1182.918,1182.924,"1576, 1583",37.44817367,21.99486844,1183.083625,2
719,1181.7,1181.662,1181.756,1181.774,1181.619,1181.58,1181.76,1181.533,"1591, 1592",37.44815422,21.99485956,1181.673,2
720,1181.767,1181.769,1181.734,1181.828,1181.526,1181.542,1181.524,1181.527,"1593, 1602",37.44815358,21.99487035,1181.652125,6
721,1181.261,1181.883,1182.017,1181.855,1181.97,1181.809,1181.996,1181.826,"1594, 1595, 1615",37.44817272,21.99487848,1181.827125,2
722,1183.541,1183.523,1183.509,1183.553,1182.636,1182.589,1182.618,1182.619,"1590, 1598",37.44810306,21.994891,1183.0735,6
723,1183.764,1183.614,1183.912,1183.928,1183.426,1183.458,1183.534,1183.457,"1596, 1603",37.44818664,21.99489857,1183.636625,2
724,1183.596,1183.485,1183.552,1183.419,1182.877,1182.872,1182.894,1182.881,"1599, 1612",37.44810454,21.99489062,1183.197,4
725,,,,,1182.626,1182.617,1183.478,1183.452,"1600, 1601",37.4481069,21.99489013,1183.04325,0
726,1181.9,1181.923,1181.862,1181.897,1183.282,1183.319,1183.291,1183.285,"1604, 1605",37.44818664,21.99489857,1182.594875,2
727,1181.9,1181.923,1181.862,1181.897,1181.538,1181.35,1181.746,1181.697,"1610, 1611",37.44817307,21.99486012,1181.739125,3
728,1183.624,1183.494,1183.478,1183.452,1182.753,1182.794,1182.862,1182.892,"1613, 1619",37.44811113,21.99488616,1183.168625,3
729,1181.983,1181.911,1181.885,1181.915,1181.746,1181.78,1181.76,1181.754,"1614, 1626",37.44817585,21.99486427,1181.84175,6
730,1183.282,1183.319,1183.291,1183.285,1183.033,1183.025,1183.075,1182.989,"1609, 1627, 1628",37.44818664,21.99489857,1183.162375,8
731,1181.97,1181.809,1181.996,1181.826,1181.97,1181.809,1181.996,1181.826,"1616, 1617",37.44817272,21.99487848,1181.90025,0
732,1181.765,1181.804,1181.829,1181.804,1181.632,1181.606,1181.691,1181.693,"1620, 1640",37.44817463,21.99487148,1181.728,2
733,1181.832,1181.749,1181.99,1181.82,1181.665,1181.663,1181.696,1181.688,"1621, 1648",37.44817151,21.99488351,1181.762875,0
734,1183.641,1183.598,1183.698,1183.673,1183.384,1183.399,1183.406,1183.448,"1622, 1623",37.44808209,21.99491505,1183.530875,3
735,1182.753,1182.794,1182.862,1182.892,1182.597,1182.532,1182.638,1182.607,"1625, 1630",37.44811733,21.99488542,1182.709375,7
736,1183.384,1183.399,1183.406,1183.448,1183.203,1183.2,1183.241,1183.234,"1624, 1631",37.44808209,21.99491505,1183.314375,2
737,1181.746,1181.78,1181.76,1181.754,1181.493,1181.518,1181.502,1181.536,"1634, 1635",37.44817585,21.99486427,1181.636125,2
738,1183.657,1183.639,1183.763,1183.732,1183.194,1183.179,1183.222,1183.239,"1632, 1637",37.44808435,21.9949189,1183.453125,2
739,1183.751,1183.725,1184.002,1183.848,1183.561,1183.531,1183.568,1183.255,"1633, 1644",37.44807539,21.99491704,1183.655125,34
740,1181.779,1181.801,1181.791,1181.804,1181.53,1181.532,1181.541,1181.535,"1636, 1641",37.44817012,21.9948634,1181.664125,2
741,1183.481,1183.659,1183.669,1183.717,1183.197,1183.254,1183.423,1183.241,"1638, 1651, 1652",37.4480875,21.99487711,1183.455125,7
742,1183.462,1183.727,1183.523,1184.015,1183.379,1183.341,1183.273,1183.279,"1639, 1660",37.44807992,21.99488356,1183.499875,15
743,1181.632,1181.606,1181.691,1181.693,1181.454,1181.524,1181.529,1181.542,"1642, 1643",37.44817463,21.99487148,1181.583875,2
744,,,,,1183.955,1183.823,1184.462,1184.629,1646,37.44808366,21.99492696,1184.21725,27
745,1181.665,1181.663,1181.696,1181.688,1181.48,1181.462,1181.512,1181.517,"1649, 1650",37.44817151,21.99488351,1181.585375,0
746,1183.832,1183.842,1184.579,1184.323,1183.515,1183.514,1183.492,1183.574,"1647, 1662",37.44808081,21.99493551,1183.833875,27
747,1181.894,1181.883,1181.967,,1181.89,1181.858,1181.962,,"1657, 1658",37.44814971,21.99487331,1181.909,13
748,1181.983,1182.012,1181.964,1182.089,1181.612,1181.737,1181.557,1181.736,"1659, 1665",37.44815815,21.9948599,1181.83625,15
749,1183.968,1184.168,1184.098,1184.214,1183.824,1183.838,1183.951,1183.696,"1663, 1666",37.44816144,21.99491826,1183.969625,0